id,winner_goal_id,winner_goal_label,top1,top2,margin,source
1000,G3_biodiversity_interactions,How different components of biodiversity interact,0.583677,0.55227965,0.031397343,./datasets_merged.csv
1580,G3_biodiversity_interactions,How different components of biodiversity interact,0.5230293,0.47097343,0.052055895,./datasets_merged.csv
1880,G3_biodiversity_interactions,How different components of biodiversity interact,0.48367128,0.46602333,0.017647952,./datasets_merged.csv
2320,G3_biodiversity_interactions,How different components of biodiversity interact,0.4872396,0.48504278,0.0021968186,./datasets_merged.csv
2349,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.46500418,0.46052545,0.004478723,./datasets_merged.csv
2350,G3_biodiversity_interactions,How different components of biodiversity interact,0.46754593,0.4616555,0.005890429,./datasets_merged.csv
2351,G3_biodiversity_interactions,How different components of biodiversity interact,0.4302886,0.4294717,0.00081691146,./datasets_merged.csv
2352,G3_biodiversity_interactions,How different components of biodiversity interact,0.46919757,0.4530902,0.01610738,./datasets_merged.csv
2353,G3_biodiversity_interactions,How different components of biodiversity interact,0.42905337,0.42721686,0.0018365085,./datasets_merged.csv
2480,G3_biodiversity_interactions,How different components of biodiversity interact,0.4932855,0.487645,0.0056405067,./datasets_merged.csv
2500,G3_biodiversity_interactions,How different components of biodiversity interact,0.47075024,0.4623574,0.008392841,./datasets_merged.csv
2623,G3_biodiversity_interactions,How different components of biodiversity interact,0.42887008,0.40965837,0.01921171,./datasets_merged.csv
2663,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.44910473,0.4364115,0.012693226,./datasets_merged.csv
2740,G3_biodiversity_interactions,How different components of biodiversity interact,0.42065296,0.3848752,0.035777748,./datasets_merged.csv
2741,G3_biodiversity_interactions,How different components of biodiversity interact,0.39096838,0.387485,0.0034833848,./datasets_merged.csv
2742,G3_biodiversity_interactions,How different components of biodiversity interact,0.43831992,0.41246125,0.02585867,./datasets_merged.csv
2760,G3_biodiversity_interactions,How different components of biodiversity interact,0.44168404,0.4276699,0.014014125,./datasets_merged.csv
2847,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.4543161,0.4431078,0.011208296,./datasets_merged.csv
2880,G3_biodiversity_interactions,How different components of biodiversity interact,0.63258636,0.565322,0.06726438,./datasets_merged.csv
2905,G3_biodiversity_interactions,How different components of biodiversity interact,0.4819774,0.3844158,0.0975616,./datasets_merged.csv
2920,G3_biodiversity_interactions,How different components of biodiversity interact,0.39766115,0.37742907,0.020232081,./datasets_merged.csv
2925,G3_biodiversity_interactions,How different components of biodiversity interact,0.54597026,0.5270996,0.018870652,./datasets_merged.csv
3020,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.68732834,0.6776818,0.009646535,./datasets_merged.csv
3141,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.5346432,0.5065671,0.028076053,./datasets_merged.csv
3220,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.51906896,0.5035571,0.01551187,./datasets_merged.csv
3360,G3_biodiversity_interactions,How different components of biodiversity interact,0.52253723,0.5182469,0.0042903423,./datasets_merged.csv
3540,G3_biodiversity_interactions,How different components of biodiversity interact,0.47489718,0.44495174,0.029945433,./datasets_merged.csv
3541,G3_biodiversity_interactions,How different components of biodiversity interact,0.46581823,0.4383733,0.027444929,./datasets_merged.csv
3542,G3_biodiversity_interactions,How different components of biodiversity interact,0.4803881,0.46008858,0.020299524,./datasets_merged.csv
3543,G3_biodiversity_interactions,How different components of biodiversity interact,0.47619838,0.452613,0.02358538,./datasets_merged.csv
3544,G3_biodiversity_interactions,How different components of biodiversity interact,0.47586572,0.4636265,0.012239218,./datasets_merged.csv
3545,G3_biodiversity_interactions,How different components of biodiversity interact,0.50219965,0.47940528,0.022794366,./datasets_merged.csv
3546,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.39184988,0.38662392,0.0052259564,./datasets_merged.csv
3547,G3_biodiversity_interactions,How different components of biodiversity interact,0.4883917,0.4521529,0.03623879,./datasets_merged.csv
3701,G3_biodiversity_interactions,How different components of biodiversity interact,0.40060657,0.39430115,0.0063054264,./datasets_merged.csv
3702,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.41218373,0.39762545,0.0145582855,./datasets_merged.csv
3705,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.4268277,0.42167938,0.0051483214,./datasets_merged.csv
3706,G3_biodiversity_interactions,How different components of biodiversity interact,0.43374622,0.41638792,0.017358303,./datasets_merged.csv
3707,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.44015315,0.41588348,0.02426967,./datasets_merged.csv
3708,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.43956003,0.4342109,0.0053491294,./datasets_merged.csv
3709,G3_biodiversity_interactions,How different components of biodiversity interact,0.4520092,0.43497017,0.01703903,./datasets_merged.csv
3901,G3_biodiversity_interactions,How different components of biodiversity interact,0.4694862,0.4030408,0.06644541,./datasets_merged.csv
3921,G3_biodiversity_interactions,How different components of biodiversity interact,0.48928255,0.4146174,0.07466516,./datasets_merged.csv
3923,G3_biodiversity_interactions,How different components of biodiversity interact,0.46218964,0.43439788,0.027791768,./datasets_merged.csv
4000,G3_biodiversity_interactions,How different components of biodiversity interact,0.4024539,0.38667384,0.015780061,./datasets_merged.csv
4001,G3_biodiversity_interactions,How different components of biodiversity interact,0.4198013,0.3926153,0.027186006,./datasets_merged.csv
4002,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.41376245,0.40332854,0.010433912,./datasets_merged.csv
4140,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.6803909,0.6134758,0.066915095,./datasets_merged.csv
4141,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.6257926,0.6156657,0.010126948,./datasets_merged.csv
4146,G3_biodiversity_interactions,How different components of biodiversity interact,0.5316359,0.52841866,0.0032172203,./datasets_merged.csv
4160,G3_biodiversity_interactions,How different components of biodiversity interact,0.47142226,0.45192486,0.019497395,./datasets_merged.csv
4181,G3_biodiversity_interactions,How different components of biodiversity interact,0.5495014,0.5308519,0.018649518,./datasets_merged.csv
4220,G3_biodiversity_interactions,How different components of biodiversity interact,0.40665555,0.39458403,0.01207152,./datasets_merged.csv
4221,G3_biodiversity_interactions,How different components of biodiversity interact,0.43444487,0.42137545,0.013069421,./datasets_merged.csv
4222,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.42635927,0.41167527,0.014683992,./datasets_merged.csv
4223,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.46769533,0.4492237,0.018471628,./datasets_merged.csv
4224,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.46584916,0.4470268,0.018822372,./datasets_merged.csv
4225,G3_biodiversity_interactions,How different components of biodiversity interact,0.45229122,0.44123435,0.01105687,./datasets_merged.csv
4226,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.48876023,0.45788682,0.030873418,./datasets_merged.csv
4260,G3_biodiversity_interactions,How different components of biodiversity interact,0.57247865,0.5620924,0.010386229,./datasets_merged.csv
4300,G3_biodiversity_interactions,How different components of biodiversity interact,0.53721935,0.5319328,0.0052865744,./datasets_merged.csv
4302,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.6391923,0.60253483,0.036657453,./datasets_merged.csv
4341,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.4802264,0.477166,0.0030604005,./datasets_merged.csv
4360,G3_biodiversity_interactions,How different components of biodiversity interact,0.46422714,0.43642396,0.027803183,./datasets_merged.csv
4361,G3_biodiversity_interactions,How different components of biodiversity interact,0.42593068,0.3846262,0.04130447,./datasets_merged.csv
4420,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.43945217,0.3959728,0.043479383,./datasets_merged.csv
4442,G3_biodiversity_interactions,How different components of biodiversity interact,0.5637241,0.52388847,0.03983563,./datasets_merged.csv
4444,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.49747306,0.49662244,0.0008506179,./datasets_merged.csv
4446,G3_biodiversity_interactions,How different components of biodiversity interact,0.48482543,0.45383143,0.030993998,./datasets_merged.csv
4460,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.5273577,0.5252172,0.002140522,./datasets_merged.csv
4520,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.65013635,0.5985775,0.051558852,./datasets_merged.csv
4521,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.64669317,0.5878686,0.0588246,./datasets_merged.csv
4620,G3_biodiversity_interactions,How different components of biodiversity interact,0.45874912,0.42398974,0.034759372,./datasets_merged.csv
4621,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.39377403,0.39300263,0.0007714033,./datasets_merged.csv
4622,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.37202302,0.36358663,0.008436382,./datasets_merged.csv
4623,G3_biodiversity_interactions,How different components of biodiversity interact,0.4284512,0.41703862,0.011412591,./datasets_merged.csv
4641,G3_biodiversity_interactions,How different components of biodiversity interact,0.41138166,0.4071802,0.004201472,./datasets_merged.csv
4661,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.40121463,0.36285454,0.03836009,./datasets_merged.csv
4760,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.527298,0.52280885,0.004489124,./datasets_merged.csv
4761,G3_biodiversity_interactions,How different components of biodiversity interact,0.5212473,0.52072895,0.0005183816,./datasets_merged.csv
4762,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.5230659,0.52268904,0.00037688017,./datasets_merged.csv
4781,G3_biodiversity_interactions,How different components of biodiversity interact,0.53292596,0.5145017,0.018424273,./datasets_merged.csv
