keyword,definition,merged
GEOMAGNETIC FORECASTS,"Forecasts of the likelihood (from 1% to 99%) that the daily geomagnetic activity level will reach a particular activity category. The four categories are Quiet to Unsettled, Active, Minor Storm, and Major to Severe Storm. The geomagnetic category assigned to a day is determined by the highest observed k-index for the day. Quiet to Unsettled = k 0 to k 3, Active = k 4, Minor Storm = k 5, and Major to Severe Storm = k 6 to k 9. Middle-latitude forecasts are verified against Fredericksburg, VA observations and High-latitude forecasts are verified against College, AK observations. Forecast lead times range from one to three days.","Label: GEOMAGNETIC FORECASTS
Definition: Forecasts of the likelihood (from 1% to 99%) that the daily geomagnetic activity level will reach a particular activity category. The four categories are Quiet to Unsettled, Active, Minor Storm, and Major to Severe Storm. The geomagnetic category assigned to a day is determined by the highest observed k-index for the day. Quiet to Unsettled = k 0 to k 3, Active = k 4, Minor Storm = k 5, and Major to Severe Storm = k 6 to k 9. Middle-latitude forecasts are verified against Fredericksburg, VA observations and High-latitude forecasts are verified against College, AK observations. Forecast lead times range from one to three days."
GEOMAGNETIC STORM CATEGORY,"A category or scale that describe the environmental disturbances for three event types: geomagnetic storms, solar radiation storms, and radio blackouts. The scales have numbered levels, analogous to hurricanes, tornadoes, and earthquakes that convey severity. They list possible effects at each level. They also show how often such events happen, and give a measure of the intensity of the physical causes.","Label: GEOMAGNETIC STORM CATEGORY
Definition: A category or scale that describe the environmental disturbances for three event types: geomagnetic storms, solar radiation storms, and radio blackouts. The scales have numbered levels, analogous to hurricanes, tornadoes, and earthquakes that convey severity. They list possible effects at each level. They also show how often such events happen, and give a measure of the intensity of the physical causes."
GEOMAGNETIC ACTIVITY,"Natural variations in the geomagnetic field classified into quiet, unsettled, active, and geomagnetic storm levels.","Label: GEOMAGNETIC ACTIVITY
Definition: Natural variations in the geomagnetic field classified into quiet, unsettled, active, and geomagnetic storm levels."
TROPICAL CYCLONES,The generic term for a non-frontal synoptic scale low-pressure system over tropical or sub-tropical waters with organized convection (i.e. thunderstorm activity) and definite cyclonic surface wind circulation.,"Label: TROPICAL CYCLONES
Definition: The generic term for a non-frontal synoptic scale low-pressure system over tropical or sub-tropical waters with organized convection (i.e. thunderstorm activity) and definite cyclonic surface wind circulation."
SEVERE TROPICAL CYCLONES,A severe tropical cyclone in the North Indian Ocean.,"Label: SEVERE TROPICAL CYCLONES
Definition: A severe tropical cyclone in the North Indian Ocean."
HURRICANES,"A tropical cyclone with 1-min average surface (10 m) winds in excess of 32 m s−1 (64 knots) in the Western Hemisphere (North Atlantic Ocean, Caribbean Sea, Gulf of Mexico, and in the eastern and central North Pacific east of the date line).","Label: HURRICANES
Definition: A tropical cyclone with 1-min average surface (10 m) winds in excess of 32 m s−1 (64 knots) in the Western Hemisphere (North Atlantic Ocean, Caribbean Sea, Gulf of Mexico, and in the eastern and central North Pacific east of the date line)."
SEVERE CYCLONIC STORMS,A severe tropical cyclone in the Southwest Pacific Ocean west of 160E or Southeast Indian Ocean east of 90E.,"Label: SEVERE CYCLONIC STORMS
Definition: A severe tropical cyclone in the Southwest Pacific Ocean west of 160E or Southeast Indian Ocean east of 90E."
CYCLONES,"An atmospheric cyclonic circulation, a closed circulation.  A cyclone's direction of rotation (counterclockwise in the Northern Hemisphere) is opposite to that of an anticyclone.","Label: CYCLONES
Definition: An atmospheric cyclonic circulation, a closed circulation.  A cyclone's direction of rotation (counterclockwise in the Northern Hemisphere) is opposite to that of an anticyclone."
TROPICAL CYCLONES,The general term for a cyclone that originates over the tropical oceans.,"Label: TROPICAL CYCLONES
Definition: The general term for a cyclone that originates over the tropical oceans."
STURGEONS/PADDLEFISHES,"Phylum Chordata. Class Actinopterygii. Order Acipenseriformes, which includes sturgeons and paddlefish, are ray-finned fish with a cartilaginous endoskeleton and no vertebral centrum","Label: STURGEONS/PADDLEFISHES
Definition: Phylum Chordata. Class Actinopterygii. Order Acipenseriformes, which includes sturgeons and paddlefish, are ray-finned fish with a cartilaginous endoskeleton and no vertebral centrum"
SOIL TEMPERATURE,The degree of hotness or coldness of the soil as measured on some definite temperature scale.,"Label: SOIL TEMPERATURE
Definition: The degree of hotness or coldness of the soil as measured on some definite temperature scale."
FROZEN GROUND,"Soil within which the moisture has predominantly changed to ice, the unfrozen
portion being in vapor phase. 
Ice within the soil bonds (adfreezes) adjacent soil particles and renders
frozen ground very hard. Permanently frozen ground is called permafrost. Dry
frozen ground is relatively loose and crumbly because of the lack of bonding
ice. Frozen ground is sometimes inadvisedly called frost or ground frost.","Label: FROZEN GROUND
Definition: Soil within which the moisture has predominantly changed to ice, the unfrozen
portion being in vapor phase. 
Ice within the soil bonds (adfreezes) adjacent soil particles and renders
frozen ground very hard. Permanently frozen ground is called permafrost. Dry
frozen ground is relatively loose and crumbly because of the lack of bonding
ice. Frozen ground is sometimes inadvisedly called frost or ground frost."
CRYOSOLS,"Soil formed in either mineral or organic materials having permafrost eitherwithin 1 m below the surface or, if the soil is strongly cryoturbated, with 2 mbelow the surface, and having a mean annual ground temperature below 0 deg C.","Label: CRYOSOLS
Definition: Soil formed in either mineral or organic materials having permafrost eitherwithin 1 m below the surface or, if the soil is strongly cryoturbated, with 2 mbelow the surface, and having a mean annual ground temperature below 0 deg C."
ACTIVE LAYER,"Active layer, also called frost zone or mollisol, is part of the soil includedwith the suprapermafrost layer (i.e., existing above permafrost) that usuallyfreezes in winter and thaws in summer. Its bottom surface is the frost table, beneath which may lie permafrost ortalik. The depth of the active layer varies anywhere from a few inches toseveral feet.","Label: ACTIVE LAYER
Definition: Active layer, also called frost zone or mollisol, is part of the soil includedwith the suprapermafrost layer (i.e., existing above permafrost) that usuallyfreezes in winter and thaws in summer. Its bottom surface is the frost table, beneath which may lie permafrost ortalik. The depth of the active layer varies anywhere from a few inches toseveral feet."
SEASONALLY FROZEN GROUND,Ground that freezes and thaws annually.,"Label: SEASONALLY FROZEN GROUND
Definition: Ground that freezes and thaws annually."
TALIK,"Talik, also called tabetisol, is a Russian term applied to permanently unfrozenground in regions of permafrost. <p>This usually applies to a layer that lies above the permafrost but below theactive layer, that is, when the permafrost table is deeper than the depthreached by winter freezing from the surface. Talik is also found within andbeneath permafrost; when it occurs beneath the permafrost it is equivalent tosubgelisol.","Label: TALIK
Definition: Talik, also called tabetisol, is a Russian term applied to permanently unfrozenground in regions of permafrost. <p>This usually applies to a layer that lies above the permafrost but below theactive layer, that is, when the permafrost table is deeper than the depthreached by winter freezing from the surface. Talik is also found within andbeneath permafrost; when it occurs beneath the permafrost it is equivalent tosubgelisol."
GROUND ICE,"A general term referring to all types of ice contained in freezing and frozen
ground. Ground ice occurs in pores, cavities, voids or other openings in soil
or rock and includes massive ice. It may occur as lenses, wedges, veins,
sheets, seams, irregular masses, or as individual crystals or coatings on
mineral or organic particles. Perennial ground ice can only occur within
permafrost bodies.","Label: GROUND ICE
Definition: A general term referring to all types of ice contained in freezing and frozen
ground. Ground ice occurs in pores, cavities, voids or other openings in soil
or rock and includes massive ice. It may occur as lenses, wedges, veins,
sheets, seams, irregular masses, or as individual crystals or coatings on
mineral or organic particles. Perennial ground ice can only occur within
permafrost bodies."
SNOW DEPTH,Pertaining to the thickness of snow pack throughout the year.,"Label: SNOW DEPTH
Definition: Pertaining to the thickness of snow pack throughout the year."
CRYOSPHERIC INDICATORS,"A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback.","Label: CRYOSPHERIC INDICATORS
Definition: A set of parameters that describe the changing climate with a focus on the cryosphere, which can include ice sheets, ice shelves, glaciers, snow cover, permafrost (frozen ground), sea ice, and river and lake ice. The cryosphere exerts an important influence on Earth’s climate, owing to its high surface reflectivity (albedo). This property gives it the ability to reflect a large fraction of solar radiation back into space and influences how much solar energy is absorbed by land and oceans. Ice on land, in the form of ice sheets and glaciers, plays a further important role in the Earth system through its ability to store vast amounts of water away from the oceans for long periods of time. Any change in the ice volume stored on land, as ice sheets and glaciers grow or shrink, has a direct impact on global mean sea level. As the climate changes, the cryosphere changes with it and, through feedback processes, these changes have an influence on the climate. For example, the increased melting of snow and ice caused by a warming planet enables more solar energy to be absorbed by land or water, which in turn leads to more warming. This is also known as the snow- or ice-albedo feedback."
ULTRAVIOLET FLUX,"The amount of ultraviolet radiation transferred across a given unit of surface
area in a given unit of time.","Label: ULTRAVIOLET FLUX
Definition: The amount of ultraviolet radiation transferred across a given unit of surface
area in a given unit of time."
ULTRAVIOLET WAVELENGTHS,Situated beyond the visible spectrum at its violet end —used of radiation having a wavelength shorter than wavelengths of visible light and longer than those of X-rays,"Label: ULTRAVIOLET WAVELENGTHS
Definition: Situated beyond the visible spectrum at its violet end —used of radiation having a wavelength shorter than wavelengths of visible light and longer than those of X-rays"
SEDIMENT COMPOSITION,"The composition of sediment including parent rock lithology, mineral composition, and chemical make-up.","Label: SEDIMENT COMPOSITION
Definition: The composition of sediment including parent rock lithology, mineral composition, and chemical make-up."
SEDIMENTATION,"The tendency for particles in suspension to settle out of the fluid in which they are entrained, and come to rest against a barrier.","Label: SEDIMENTATION
Definition: The tendency for particles in suspension to settle out of the fluid in which they are entrained, and come to rest against a barrier."
SOIL COLOR,"The property of a soil that is based upon three components of hue, chroma (intensity or brightness), and value (lightness or darkness).","Label: SOIL COLOR
Definition: The property of a soil that is based upon three components of hue, chroma (intensity or brightness), and value (lightness or darkness)."
SOILS,The range of dynamic natural bodies composed of  mineral and organic materials and living forms in which plants grow.,"Label: SOILS
Definition: The range of dynamic natural bodies composed of  mineral and organic materials and living forms in which plants grow."
SOIL COLOR,"The property of a soil that is based upon three components of hue,chroma (intensity or brightness), and value (lightness or darkness).","Label: SOIL COLOR
Definition: The property of a soil that is based upon three components of hue,chroma (intensity or brightness), and value (lightness or darkness)."
SEA CLIFFS,"A significant vertical, or near vertical, rock exposure. Cliffs are formed as erosion landforms due to the processes of erosion and weathering that produce them. Cliffs are common on coasts, in mountainous areas, escarpments and along rivers.","Label: SEA CLIFFS
Definition: A significant vertical, or near vertical, rock exposure. Cliffs are formed as erosion landforms due to the processes of erosion and weathering that produce them. Cliffs are common on coasts, in mountainous areas, escarpments and along rivers."
WATER VAPOR INDICATORS,Methods of expressing water vapor.,"Label: WATER VAPOR INDICATORS
Definition: Methods of expressing water vapor."
ATMOSPHERIC WATER VAPOR,"(Also called aqueous vapor, moisture.) Water substance in vapor form; one of the most important of all constituents of the atmosphere.Air in motion relative to the surface of the earth.","Label: ATMOSPHERIC WATER VAPOR
Definition: (Also called aqueous vapor, moisture.) Water substance in vapor form; one of the most important of all constituents of the atmosphere.Air in motion relative to the surface of the earth."
WATER VAPOR,Water substance in vapor form; one of the most important of all constituents of the atmosphere.,"Label: WATER VAPOR
Definition: Water substance in vapor form; one of the most important of all constituents of the atmosphere."
HUMIDITY,"Generally, some measure of the water vapor content of air.","Label: HUMIDITY
Definition: Generally, some measure of the water vapor content of air."
VAPOR PRESSURE,The pressure exerted by the molecules of a given vapor.,"Label: VAPOR PRESSURE
Definition: The pressure exerted by the molecules of a given vapor."
ATMOSPHERIC RIVER,"Atmospheric Rivers (AR) are relatively narrow regions in the atmosphere and are responsible for most of the horizontal transport of water vapor outside of the tropics. While ARs come in many shapes and sizes, those that contain the largest amounts of water vapor, the strongest winds, and stall over watersheds vulnerable to flooding, can create extreme rainfall and floods.","Label: ATMOSPHERIC RIVER
Definition: Atmospheric Rivers (AR) are relatively narrow regions in the atmosphere and are responsible for most of the horizontal transport of water vapor outside of the tropics. While ARs come in many shapes and sizes, those that contain the largest amounts of water vapor, the strongest winds, and stall over watersheds vulnerable to flooding, can create extreme rainfall and floods."
LAYERED PRECIPITABLE WATER,The layered water vapor is a profile in broad layers based on pressure.,"Label: LAYERED PRECIPITABLE WATER
Definition: The layered water vapor is a profile in broad layers based on pressure."
DEW POINT TEMPERATURE,The temperature to which a given air parcel must be cooled at constant pressure and constant water vapor content in order for saturation to occur.,"Label: DEW POINT TEMPERATURE
Definition: The temperature to which a given air parcel must be cooled at constant pressure and constant water vapor content in order for saturation to occur."
SATURATION VAPOR PRESSURE,"The vapor pressure of a system, at a given temperature, for which the vapor of a substance is in equilibrium with a plane surface of that substance's pure liquid or solid phase; that is, the vapor pressure of a system that has attained saturation but not supersaturation.","Label: SATURATION VAPOR PRESSURE
Definition: The vapor pressure of a system, at a given temperature, for which the vapor of a substance is in equilibrium with a plane surface of that substance's pure liquid or solid phase; that is, the vapor pressure of a system that has attained saturation but not supersaturation."
WATER VAPOR INDICES,Indices developed to quantify atmospheric water vapor over a given area and timescale.,"Label: WATER VAPOR INDICES
Definition: Indices developed to quantify atmospheric water vapor over a given area and timescale."
WATER VAPOR PROCESSES,Methods of transport of liquid to and from vapor form.,"Label: WATER VAPOR PROCESSES
Definition: Methods of transport of liquid to and from vapor form."
SULFUR DIOXIDE SURFACE,"Acidic gas, formula SO2, formed in the combustion of many fuels and in the oxidation of naturally occurring sulfur gases measured at the earth's surface. It is the primary sulfur gas emitted from combustion sources and is a precursor to sulfuric acid, which is a major constituent of acid rain.","Label: SULFUR DIOXIDE SURFACE
Definition: Acidic gas, formula SO2, formed in the combustion of many fuels and in the oxidation of naturally occurring sulfur gases measured at the earth's surface. It is the primary sulfur gas emitted from combustion sources and is a precursor to sulfuric acid, which is a major constituent of acid rain."
ELECTRICAL PROPERTIES,"An important baseline measurement in ice cores is electrical conductivity.
Electrical conductivity measurements (ECM) of the core is a very rapid methodto indicate how acidic the core is without the chemical detail of the ionanalyses. The value of the measurement is that it can be done for the wholelength of the core in high resolution and provide an immediate picture of thecore and allow quick detection of interesting areas, such as a volcaniceruptions. Because it is a high resolution, continuous measurement it can beused, along with the other measurements, for time frequency analysis in orderto identify cycles in the climate signal.","Label: ELECTRICAL PROPERTIES
Definition: An important baseline measurement in ice cores is electrical conductivity.
Electrical conductivity measurements (ECM) of the core is a very rapid methodto indicate how acidic the core is without the chemical detail of the ionanalyses. The value of the measurement is that it can be done for the wholelength of the core in high resolution and provide an immediate picture of thecore and allow quick detection of interesting areas, such as a volcaniceruptions. Because it is a high resolution, continuous measurement it can beused, along with the other measurements, for time frequency analysis in orderto identify cycles in the climate signal."
REFLECTANCE,"A general term referring to the radiation reflected from, or scattered back through, a given surface in response to radiation incident on the surface with the same wavelength or wavelength range.","Label: REFLECTANCE
Definition: A general term referring to the radiation reflected from, or scattered back through, a given surface in response to radiation incident on the surface with the same wavelength or wavelength range."
