id,anchor1_id,anchor1_label,anchor1_score
1000,MUSEUM EXHIBITS,MUSEUM EXHIBITS,0.552426
1580,,,0.0
1880,METAGENOME ASSEMBLED GENOMES (MAGs),METAGENOME ASSEMBLED GENOMES (MAGs),0.575054
2320,FOREST MENSURATION,FOREST MENSURATION,0.623074
2349,FOREST MENSURATION,FOREST MENSURATION,0.627033
2350,DROUGHT/PRECIPITATION RECONSTRUCTION,DROUGHT/PRECIPITATION RECONSTRUCTION,0.566413
2351,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.592205
2352,ATMOSPHERIC CIRCULATION RECONSTRUCTION,ATMOSPHERIC CIRCULATION RECONSTRUCTION,0.584432
2353,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.597558
2480,FOREST MENSURATION,FOREST MENSURATION,0.631933
2500,FOREST YIELDS,FOREST YIELDS,0.616822
2623,CATTLE/SHEEP,CATTLE/SHEEP,0.510246
2663,CROP DENSITY,CROP DENSITY,0.487568
2740,KP INDEX,KP INDEX,0.478695
2741,,,0.0
2742,,,0.0
2760,,,0.0
2847,,,0.0
2880,BIODIVERSITY FUNCTIONS,BIODIVERSITY FUNCTIONS,0.649252
2905,,,0.0
2920,CHLOROPHYLL,CHLOROPHYLL,0.471277
2925,,,0.0
3020,WATER MANAGEMENT,WATER MANAGEMENT,0.620634
3141,,,0.0
3220,SOIL MOISTURE/WATER CONTENT,SOIL MOISTURE/WATER CONTENT,0.678429
3360,FOREST MENSURATION,FOREST MENSURATION,0.669818
3540,,,0.0
3541,,,0.0
3542,,,0.0
3543,,,0.0
3544,,,0.0
3545,,,0.0
3546,,,0.0
3547,,,0.0
3701,,,0.0
3702,,,0.0
3705,,,0.0
3706,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.576209
3707,,,0.0
3708,,,0.0
3709,VEGETATION COVER,VEGETATION COVER,0.525747
3901,REPTILES,REPTILES,0.555951
3921,ANIMAL BREEDING AND GENETICS,ANIMAL BREEDING AND GENETICS,0.479805
3923,SLR (SATELLITE LASER RANGING),SLR (SATELLITE LASER RANGING),0.537629
4000,MARSH,MARSH,0.519275
4001,MARSH,MARSH,0.524327
4002,,,0.0
4140,LAND USE CLASSES,LAND USE CLASSES,0.612274
4141,,,0.0
4146,INSECTS,INSECTS,0.663317
4160,METAMORPHIC ROCK AGE DETERMINATIONS,METAMORPHIC ROCK AGE DETERMINATIONS,0.624458
4181,FORESTS,FORESTS,0.584049
4220,FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,0.555131
4221,FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,0.56739
4222,SOIL IMPEDANCE,SOIL IMPEDANCE,0.522661
4223,BOTTOM COVER TYPE,BOTTOM COVER TYPE,0.535357
4224,SOIL DEPTH,SOIL DEPTH,0.508701
4225,FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,0.503897
4226,MINING/DRILLING SITE,MINING/DRILLING SITE,0.534972
4260,,,0.0
4300,POLLEN,POLLEN,0.63287
4302,POLLINATOR SPECIES,POLLINATOR SPECIES,0.543462
4341,POLLEN,POLLEN,0.539032
4360,SLR (SATELLITE LASER RANGING),SLR (SATELLITE LASER RANGING),0.539571
4361,REPTILES,REPTILES,0.464688
4420,LAND SURFACE MODELS,LAND SURFACE MODELS,0.508956
4442,,,0.0
4444,,,0.0
4446,USE/FEEDING HABITATS,USE/FEEDING HABITATS,0.52759
4460,,,0.0
4520,,,0.0
4521,,,0.0
4620,DIGITAL ELEVATION/TERRAIN MODEL (DEM),DIGITAL ELEVATION/TERRAIN MODEL (DEM),0.505957
4621,STATION HEIGHT,STATION HEIGHT,0.522104
4622,CALIBRATION,CALIBRATION,0.587234
4623,FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,0.523628
4641,INSECTS,INSECTS,0.514918
4661,SENSOR COUNTS,SENSOR COUNTS,0.573772
4760,,,0.0
4761,SEISMIC PROFILE,SEISMIC PROFILE,0.512182
4762,SURFACE SOIL MOISTURE,SURFACE SOIL MOISTURE,0.514717
4781,FOREST SCIENCE,FOREST SCIENCE,0.575065
4823,,,0.0
4840,,,0.0
4862,ISOTOPIC AGE,ISOTOPIC AGE,0.534691
4882,,,0.0
4883,,,0.0
4963,BIOAVAILABILITY,BIOAVAILABILITY,0.577759
4964,,,0.0
4981,,,0.0
5000,IMAGE PROCESSING,IMAGE PROCESSING,0.52772
5021,SPECIES DISTRIBUTION MODELS,SPECIES DISTRIBUTION MODELS,0.622085
5060,GRASSLANDS,GRASSLANDS,0.617281
5063,,,0.0
5081,POLLEN,POLLEN,0.537442
5120,,,0.0
5160,,,0.0
5201,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.557966
5222,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.561842
5241,SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,0.648816
5280,SUB-BOTTOM PROFILE,SUB-BOTTOM PROFILE,0.528992
5281,BIBLIOGRAPHIC DATABASES,BIBLIOGRAPHIC DATABASES,0.529005
5303,,,0.0
5304,ABYSSAL HILLS/PLAINS,ABYSSAL HILLS/PLAINS,0.488559
5340,SOIL SALINITY/SOIL SODICITY,SOIL SALINITY/SOIL SODICITY,0.647954
5400,,,0.0
5401,BIOMASS,BIOMASS,0.616462
5421,ABYSSAL HILLS/PLAINS,ABYSSAL HILLS/PLAINS,0.559089
5460,KP INDEX,KP INDEX,0.48881
5461,TERRAIN ELEVATION,TERRAIN ELEVATION,0.493438
5480,,,0.0
5500,POINT BAR,POINT BAR,0.545609
5502,,,0.0
5503,,,0.0
5520,FOREST HARVESTING AND ENGINEERING,FOREST HARVESTING AND ENGINEERING,0.482265
5522,GRASSLANDS,GRASSLANDS,0.597401
5540,,,0.0
5541,WILDLAND FUELS,WILDLAND FUELS,0.504906
5542,,,0.0
5543,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.524573
5544,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.498729
5545,REFORESTATION/REVEGETATION,REFORESTATION/REVEGETATION,0.523307
5560,,,0.0
5600,,,0.0
5620,SILVICULTURE,SILVICULTURE,0.61438
5622,SILVICULTURE,SILVICULTURE,0.628167
5641,,,0.0
5642,,,0.0
5660,SPECIES DISTRIBUTION,SPECIES DISTRIBUTION,0.575349
5680,CLOUD INDICATORS,CLOUD INDICATORS,0.528502
5682,LAND SURFACE MODELS,LAND SURFACE MODELS,0.501751
5684,,,0.0
5702,SATELLITE SOIL MOISTURE INDEX,SATELLITE SOIL MOISTURE INDEX,0.536331
5740,RIPPLES,RIPPLES,0.497615
5741,POLLEN,POLLEN,0.573819
