Id,keywords,alb,sch,hai,plot_level,grassland,forest,aboveground,belowground,field,laboratory,review,infrastructure,biotic_data_taxon,biotic_data_type,environmental_descriptors,processes_and_services,experimentType
30000,"Birds, Forest fragmentation, Habitat-association modelling, Hierarchical state-space, Landscape attributes, Multiple-scale effects, Random forest classifier, Species turnover, Silviculture",Yes,No,No,EP (all),No,Yes,Yes,No,Yes,No,No,None,Animals - Vertebrates,Multiple species,Land use (unmanaged); Land use (managed),None,
30001,"Biotic interactions, Ecological monitoring, Ecosystem services, Forest management, Grassland, Land use, Landscape, Species richness",Yes,Yes,Yes,None,No,No,No,No,No,No,Yes,Theory/Modeling/Methodological approaches; Central coordination/LMT,None,None,Land use (unmanaged); Land use (managed),None,
30002,"Statistics web service, integrated analysis",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30003,"Scientific Data Management, Semantic Integration",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30004,Integrated Analysis,No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30005,"Ontologien, Datenintegration",No,No,No,None,No,No,No,No,No,No,No,Data management,None,None,None,None,
30006,Landnutzung,Yes,No,No,VIP (few),Yes,No,No,Yes,Yes,Yes,No,None,Microbes,Total abundance,Land use (unmanaged); Land use (managed); Soil,Biogeochemical cycle; Productivity,
30007,"Enzymaktivität, Heterogenität",Yes,No,No,VIP (few),Yes,No,No,Yes,Yes,Yes,No,None,Microbes,Total abundance,Land use (unmanaged); Land use (managed); Soil,Biogeochemical cycle,
30008,Bodenpilze,Yes,No,No,VIP (few),Yes,Yes,No,Yes,Yes,Yes,No,None,Fungi,Total abundance; Multiple species,Land use (managed); Soil,None,
30009,"Pilzen, Weidelgras",No,No,Yes,None,Yes,No,Yes,Yes,No,Yes,No,None,Microbes,Multiple species,Soil,Productivity,
30010,"Plantago lanceolata, Stickstoffdüngung",No,Yes,No,EP (few),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Multiple species; Total abundance,None,Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30011,Mecinus pascuorum,No,No,No,None,No,No,Yes,No,No,Yes,No,None,Animals - Invertebrates,Single species,None,Ecological process - Herbivory,
30012,"Osmia bicornis, Raps",Yes,No,Yes,EP (few),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Single species,Land use (unmanaged),None,
30013,Herbivorie,Yes,Yes,Yes,VIP (all),No,Yes,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Herbivory,
30014,"Plantago lanceolata, Cecidomyiidae, Chalcidoidea",Yes,No,No,VIP (all),Yes,No,Yes,No,Yes,No,No,Data management; Theory/Modeling/Methodological approaches; Instrumentation/Remote sensing,Plants; Animals - Invertebrates,Multiple species; Total abundance,Land use (unmanaged); Land use (managed),Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism; Ecological process - Dispersal,
30015,"Jaapiella schmidti, Lestodiplosis sp.",Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Single species; Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30016,Methanol-oxidierende Mikroorganismen,Yes,Yes,Yes,None,Yes,Yes,No,Yes,No,Yes,No,None,Microbes,Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle,
30017,Osmia bicornis,Yes,No,Yes,None,Yes,No,Yes,No,Yes,No,No,None,Animals - Invertebrates,Single species,None,None,
30018,Nahinfrarotspektroskopie,No,No,Yes,None,Yes,No,Yes,No,Yes,Yes,No,None,Plants,Multiple species,None,None,
30019,Landschaftsstruktur,Yes,Yes,Yes,EP (all),Yes,Yes,No,No,No,No,No,None,None,None,None,None,
30020,"Wurzelherbivore, Mykorrhizierung",No,No,No,None,Yes,No,Yes,Yes,No,Yes,No,None,Plants; Fungi; Animals - Invertebrates,Single species; Multiple species,None,Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30021,"Plantago lanceolata, Elateriden Larven",No,Yes,No,EP (few),Yes,No,Yes,Yes,No,Yes,No,None,Plants; Fungi; Animals - Invertebrates,Multiple species,Soil,Productivity; Ecological process - Herbivory; Ecological process - Predation/Parasitism,
30022,"Arthropod communities, canopy, monitoring, trap placement strategy",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30023,"Cellular automata, coupled map lattice, Markov chain, torus, absorbing boundary, restricting boundary, colonisation, immigration, emigration",No,No,No,None,No,No,No,No,No,No,No,Theory/Modeling/Methodological approaches,None,None,None,Ecological process - Dispersal,
30024,"Large ungulates, faecal pellet group count, forest management, browsing damage",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30025,"Soil aggregation, Structural equation modeling, Carbon sequestration, Mowing, Grazing,Fertilization, Hydrophobicity, Arbuscular mycorrhizal fungi",Yes,Yes,Yes,VIP (all),Yes,No,Yes,Yes,Yes,No,No,None,Plants; Fungi,Multiple species; Total abundance,Soil,None,
30026,"Multitrophic interactions, plant species richness, ribwort plantain, vegetation structure, fertilization, mowing, grazing,Plantago lanceolata,Mecinusspp.,Mesopolobus incultus, Curculionidae, Pteromalidae",Yes,Yes,Yes,GP (few),Yes,No,Yes,No,Yes,No,No,None,Plants; Animals - Invertebrates,Total abundance,Land use (unmanaged); Land use (managed),Ecological process - Predation/Parasitism,
30027,"Acidobacteria, bacterial diversity, land use",Yes,Yes,Yes,VIP (all),Yes,Yes,No,Yes,No,Yes,No,Theory/Modeling/Methodological approaches; Inventory/Campaign,Microbes,Multiple species; Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle; Productivity,
30028,"Grassland, land-use intensity, ammonia oxidizers, denitrifiers, geostatistics",Yes,No,No,VIP (few),Yes,No,No,Yes,Yes,Yes,No,None,Microbes,Genetic; Total abundance,Soil; Land use (unmanaged); Land use (managed),Biogeochemical cycle; Ecological process - Dispersal,
30029,"bottom-up control, microorganism, multi-trophic interaction, predator exclosure, top-down control",Yes,No,Yes,None,Yes,No,Yes,No,Yes,No,No,None,None,None,Land use (unmanaged); Land use (managed),None,
30030,"New species, Methylobacterium, Methylobacterium cerastii sp. nov.",No,No,Yes,None,No,No,Yes,No,No,Yes,No,None,Microbes,Genetic,None,Biogeochemical cycle,
30031,Biodiversity exploratories; Cover-weighting; Near-infrared reflectance spectroscopy (NIRS); Nitrogen; Nutrient concentrations; Phosphorus,Yes,Yes,Yes,EP (all),Yes,No,Yes,No,Yes,Yes,No,None,Plants,None,None,Biogeochemical cycle,
30032,"New species, Williamsia, Williamsia phyllosphaerae sp. nov.",No,No,No,None,No,No,No,No,No,Yes,Yes,None,Microbes,Single species; Genetic,None,None,
30033,"lipolytic genes , soil",Yes,Yes,Yes,VIP (few),Yes,Yes,No,Yes,No,Yes,No,Data management; Inventory/Campaign,Microbes,Genetic; Multiple species,Soil; Land use (unmanaged); Land use (managed),Decomposition,
30034,"biodiversity, coarse-filter approach, forest understorey, gap shape complexity index, unmanned aerial vehicles",Yes,No,Yes,EP (few),No,Yes,Yes,No,Yes,No,No,Instrumentation/Remote sensing,Plants,Multiple species; Total abundance,Land use (unmanaged); Land use (managed); Soil,None,
30035,"herbivory, induction, iridoid glucosides, jasmonic acid, metabolic fingerprinting, metabolomics, phytohormones, salicylic acid",No,No,No,None,No,No,Yes,No,No,Yes,No,Theory/Modeling/Methodological approaches,Plants; Animals - Invertebrates,Multiple species,None,Ecological process - Herbivory,
30036,"Vision, Ecosystem services, Communication, Pollination, Grassland management",Yes,No,Yes,VIP (few),Yes,No,Yes,No,Yes,No,No,None,Plants,Multiple species,Land use (unmanaged); Land use (managed),Ecological process - Pollination,
30037,"Soil structure, Fractals, Power-law exponent, MWD, WSA, C, N, AMF, Plant, Collembola, Biodiversity Exploratories",Yes,Yes,Yes,VIP (all),Yes,No,No,Yes,Yes,Yes,No,None,Fungi,Total abundance; Multiple species,Soil,None,
30038,"ants, myrmecochory, gastropodochory, Arion, slug, seed dispersal",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30039,"Seed dispersal, gastropod Species",No,No,No,None,No,No,No,No,No,No,No,None,None,None,None,None,
30040,"Yeast fungi, Ascomycota, Basidiomycota, soil fungi, biodiversity, community  structure, community evenness, land use gradient, forestry, agriculture",Yes,Yes,Yes,VIP (all),Yes,Yes,No,Yes,No,Yes,No,Inventory/Campaign,Fungi,Multiple species; Total abundance,Land use (managed); Land use (unmanaged); Soil,Ecological process - Dispersal,
