id,title,abstract
1000,Basic information and coordinates of field plots of the Biodiversity Exploratories project,"Basic information for investigation areas (plots) of the project ""Exploratories for large-scale and long-term functional biodiversity research"", called Biodiversity Exploratories (BE) including degraded coordinates for the public section."
1580,Basic information of all exploratories,"The dataset contains the main geographic and environmental characteristics of the three Biodiversity Exploratories (Schorfheide-Chorin, Hainich-Dün, Schwäbische Alb)."
1880,Plant species list,"""Sammelarten"" sind durch   agg= Aggregate oder total gekennzeichnet. Sie umfassen jene Taxa, die teilweise bis zur Kleinart, Subspecies oder Varietas bestimmt wurden, teilweise aber auch nur auf Gattungs- (... spec. (indet.)) oder Artebene. Diese sind deshalb nochmals, inclusive der unsicher Bestimmten (cf.-data), für sämtliche Aufnahmen zusammengefasst. Phanerogamen, die in verschiedenen Schichten vorkamen (juv. = juvenil, .B = Baumschicht [> 5 m], .S = Strauchschicht [verholzt bis 5 m]) sind ebenfalls nocheinmal zusammengefasst.  Die zusammengefassten Sippen aus den Einzelaufnahmen sind noch in der Tabelle enthalten und unter der ""Sammelart"" mit einem * markiert."
2320,Forest inventory - deadwood stumps,Counted stumps during 1st forest inventory in the Biodiversity Exploratories.
2349,forest inventory - header data,header data of the forest inventory
2350,Forest inventory - Regeneration header data,common data of regeneration (northern and southern square and PK IV circle)
2351,Forest inventory - Regeneration north,regeneration inventory of the northern square
2352,Forest inventory - Regeneration pk4,regeneration inventory in the PK IV circle
2353,Forest inventory - Regeneration south,regeneration inventory of the southern square
2480,Forest inventory - deadwood thick,Mapping of coarse woody debris during forest inventory.
2500,Forest inventory - deadwood slight,Mapping of fine woody debris.
2623,Spotlight count mammals (2007 - 2008),k.A.
2663,"Density of arion rufus  in 19 forest plots in the Hainich, 2007",Counting individuals of Arion rufus [Linnaeus] within 400 m^2 in 19 Plots in the Hainich. Centre of the plot is the original plot centre of the GPs.
2740,forest inventory - np hainich 2007 - coordinates.xls,"Wiederholungsinventur der KSP des Nationalparks. Aufgenommen wurden die KSP-Punkte innerhalb des Exploratorien-Stichpunkte-Netzes, sowie die biomassereichsten KSP-Punkte des NP im Laubholz."
2741,forest inventory - np hainich 2007 - stand data.xls,Wiederholungsinventur der KSP des NP Hainich.
2742,forest inventory - NP Hainich - Around the tower - coordinates.xls,Wiederholungsinventur der KSP des NP Hainich im Footprint des Turms.
2760,forest inventory - NP Hainich - Around the tower - stand data.xls,Wiederholungsinventur der KSP des Nationalparks im Footprint des Turms.
